"code","iso","country","NUE.raw.1961","NUE.raw.1962","NUE.raw.1963","NUE.raw.1964","NUE.raw.1965","NUE.raw.1966","NUE.raw.1967","NUE.raw.1968","NUE.raw.1969","NUE.raw.1970","NUE.raw.1971","NUE.raw.1972","NUE.raw.1973","NUE.raw.1974","NUE.raw.1975","NUE.raw.1976","NUE.raw.1977","NUE.raw.1978","NUE.raw.1979","NUE.raw.1980","NUE.raw.1981","NUE.raw.1982","NUE.raw.1983","NUE.raw.1984","NUE.raw.1985","NUE.raw.1986","NUE.raw.1987","NUE.raw.1988","NUE.raw.1989","NUE.raw.1990","NUE.raw.1991","NUE.raw.1992","NUE.raw.1993","NUE.raw.1994","NUE.raw.1995","NUE.raw.1996","NUE.raw.1997","NUE.raw.1998","NUE.raw.1999","NUE.raw.2000","NUE.raw.2001","NUE.raw.2002","NUE.raw.2003","NUE.raw.2004","NUE.raw.2005","NUE.raw.2006","NUE.raw.2007","NUE.raw.2008","NUE.raw.2009","NUE.raw.2010","NUE.raw.2011"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",0.251757274728873,0.295821842938196,0.294180550396655,0.341601324887233,0.306811928086848,0.369931283364387,0.351128999442053,0.270166772003782,0.307769558522104,0.271232532902561,0.236574318908928,0.245249394451096,0.247647289299384,0.251496936895117,0.255797708458424,0.27065477744725,0.264545439049197,0.207906843463882,0.217892422433301,0.205508701277862,0.204313412819289,0.219090669604363,0.234568361592955,0.224962075268149,0.21965154158095,0.22530447409559,0.234080926798537,0.212135139009211,0.205983845255953,0.188674492790337,0.192995048891062,0.234201800538943,0.315670689847398,0.262651859095198,0.275733490700223,0.267671883447918,0.33074504923174,0.264380498699232,0.285191921810722,0.272720486373431,0.258648586552586,0.1706837363878,0.160552508738701,0.172581742141838,0.174009404054332,0.192523402059879,0.18689545931475,0.237341378281171,0.232373247051406,0.259755309485254,0.245191933212456
12,"DZA","Algeria",1.20848876284449,1.82366352092314,1.62779396518053,1.20314079008187,1.47997617946527,0.715049721339096,1.26897285048091,1.29826713571787,0.936408771897013,0.772701026669546,0.49220981699801,0.51600304145299,0.396386128466531,0.427074324030654,0.949893049242257,0.698773277826354,0.394360466433678,0.456602537612579,0.469988985478561,0.49670889780766,0.534281643095177,0.500056048696202,0.392773386254075,0.325443153052557,0.503259601022402,0.400652797253166,0.46044815377699,0.391029613122701,0.638578529175757,0.442805385494875,1.04497855052006,0.878949920253835,0.391476243227938,0.344641904521921,0.96487600351121,1.89221588533095,0.450203733735387,0.816728224529542,0.655528871157923,0.428970725406032,0.772753810219429,0.805596645991233,1.58863474799043,0.64776594248172,1.85736634470322,1.0999986795673,1.05448732665351,0.83567287987907,1.76615772167094,1.10120959025233,0.922081777230604
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",1.08033806371412,1.05882602418755,1.00064721213255,1.03518208474906,0.957016956759217,0.893721901680396,0.848111825118334,0.858702867070666,0.965160863469513,0.912508866464593,0.717107266236858,0.685338109559302,0.741074672378901,0.817532826473433,0.879937889637707,0.86416826034857,0.472936003125783,0.518009595591555,0.437195825388809,0.444886645433977,0.439970574362978,0.4684947861783,0.452787624951556,0.437669266462815,0.318306713239379,0.413872842392701,0.43846737136075,0.405303531948791,0.329790696218563,0.412816969388587,0.481795280376399,0.48116914079623,0.455914432686601,0.539535947305575,0.532790829352449,0.621743594549291,0.568679152112727,0.679153666561828,0.634941323623683,0.698314539054207,0.795442576290399,0.783421290274162,0.771708479904266,0.631800668487285,0.791162498894846,0.662559225019795,0.703871979698619,0.681153382308212,0.816279575207649,0.815139847378344,0.748941221829841
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
