"code","iso","country","FSS.raw.1950","FSS.raw.1951","FSS.raw.1952","FSS.raw.1953","FSS.raw.1954","FSS.raw.1955","FSS.raw.1956","FSS.raw.1957","FSS.raw.1958","FSS.raw.1959","FSS.raw.1960","FSS.raw.1961","FSS.raw.1962","FSS.raw.1963","FSS.raw.1964","FSS.raw.1965","FSS.raw.1966","FSS.raw.1967","FSS.raw.1968","FSS.raw.1969","FSS.raw.1970","FSS.raw.1971","FSS.raw.1972","FSS.raw.1973","FSS.raw.1974","FSS.raw.1975","FSS.raw.1976","FSS.raw.1977","FSS.raw.1978","FSS.raw.1979","FSS.raw.1980","FSS.raw.1981","FSS.raw.1982","FSS.raw.1983","FSS.raw.1984","FSS.raw.1985","FSS.raw.1986","FSS.raw.1987","FSS.raw.1988","FSS.raw.1989","FSS.raw.1990","FSS.raw.1991","FSS.raw.1992","FSS.raw.1993","FSS.raw.1994","FSS.raw.1995","FSS.raw.1996","FSS.raw.1997","FSS.raw.1998","FSS.raw.1999","FSS.raw.2000","FSS.raw.2001","FSS.raw.2002","FSS.raw.2003","FSS.raw.2004","FSS.raw.2005","FSS.raw.2006","FSS.raw.2007","FSS.raw.2008","FSS.raw.2009","FSS.raw.2010","FSS.raw.2011","FSS.raw.2012","FSS.raw.2013","FSS.raw.2014"
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0,0,0,0,0,1.83,2.49,0,2.34,2.3,1.63,2.07,2.78,3.25,3.08969103089691,0,2.11,1.53,1.56,2,2.28,1.72017201720172,1.63016301630163,2.17,4.47,4.75,4.3,3.86,4.1004100410041,4.76,3.63036303630363,3.21032103210321,2.93970602939706,2.94,2.95970402959704,3.68,3.39,3.92,3.51035103510351,4.95,4.68,9.48,12.1287871212879,17.29,16.45,17.12,16.98,17.15,15.38,17.4582541745825,16.4616461646165,22.9077092290771,24.012401240124,30.07,31.44,33.1666833316668,34.33,35.95,42.2357764223578,50.18,58.4158415841584,67.3,70.17,73.2,75.42
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.43004300430043,0.06999300069993,0.74,1.03,1.25,1.17,1.13,2.1,4.37043704370437,4.45955404459554,4.97,2.54,2.78972102789721,1.04,1.08,1.15,1.1998800119988,1.29,1.34,1.32,8.99089908990899,17.25,30.3730373037304,27.8027802780278,29.7970202979702,30.24,32.6767323267673,32.6667333266673,32.66,23.68,13.8713871387139,4.35,3.62927414517097,3.97960203979602,5.11948805119488,6.73067306730673,13.1,11.37,10.29,4.78952104789521,5.47054705470547,13.3686631336866,22.4277572242776,33.6433643364336,31.13,26.66,24.67,24.08,25.85,29.1
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",0,0,0,0,0.2,0.17,0.41,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.00999900009999,0,0,0,0.01,0.01999800019998,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.02,0.01,0.01000100010001,0.01000100010001,0.01000100010001,0.01000100010001,0.01999800019998,0.01999800019998,0.01999800019998,0.02,0.05,0.04,0.14,0.27002700270027,0.4000400040004,0.45004500450045,0.46004600460046,0.48,0.85008500850085,1.06,1.53,1.62983701629837,2.16,2.0997900209979,2.05,1.7001700170017
52,"BRB","Barbados",0,20.68,25.85,42.7442744274427,41.05,36.21,21.982198219822,23.14,18.63,20.6120612061206,18.68,17.05,14.78,13.4786521347865,21.72,23.95,27.0972902709729,25.48,27.71,28.91,23.3223322332233,30.3069693030697,34.14,42.8442844284428,43.69,36.89,27.65,25.47,29.46,30.04,33.12,34.26,38.1261873812619,39.8839883988399,37.27,33.5633563356336,27.87,22.3977602239776,15.1084891510849,24.87,33.1533153315332,25.16,25.84,29.2729272927293,28.01,42.97,53.93,48.8951104889511,47.21,44.67,50.965096509651,49.85,52.62,51.92,51.3351335133513,50.82,51.35,53.17,54.02,54.58,54.4,53.2146785321468,52.59,52.21,52.2
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03,0,0,28.35,43.5456454354565,41.31,38.3661633836616,35.1664833516648,40.01400140014,33.22,39.14,34.95,42.53,38.31,33.77,26.42,42.01,30.66,37.85,31.8831883188319,23.032303230323,29.75,22.26,12.16,19.19,27.027297270273,44.56,26.34,37.0837083708371,27.61,38.65,33.76,34.29,24.85,27.41,32.66,27.99,18.5,15.96,20.7,22.06
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",0,0,0,0,0,0,0,0,0,0,0,0.33,0.75,0.74,1.2998700129987,1.91,1.08,2.14,2.61,3.88,4.61,6.67066706670667,7.3,7.68,7.91,11.01,12.6612661266127,12.57,12.86,11.59,13.66,11.69,11.86,9.60903909609039,9.55,11.6011601160116,11.4588541145885,14.08,17.42,28.5171482851715,38.6,46.57,44.7,41.52,37.78,42.11,44.9,45.98,39.97,33.4,29.25,27.2627262726273,29.49,31.9268073192681,32.56,31.3868613138686,31.44,36.1,40.8840884088409,53.58,44.53,40.02,33.93,33.63,33.7466253374663
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.28,0.21,0.16998300169983,0.09,0.08999100089991,0.04000400040004,0.42,0.79,1.17,1.36,1.56,1.67,1.54,1.19,0.78992100789921,0.55005500550055,0.67,0.79007900790079,0.87008700870087,0.71,0.55,0.36996300369963,0.3,0.25,0.24,0.26002600260026,0.4,0.49,0.51005100510051,0.82,1.1001100110011,1.1,0.69,0.5000500050005,2.1002100210021,3.36,3.57,2.65,2.12,2.7,3.89,18,30.3369663033697,44.954495449545,38.0661933806619,40.6159384061594,41.67,44.7655234476552,44.8944894489449
120,"CMR","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,"CAN","Canada",0,0,0.534525096039273,0.464055877585682,0.304488055119675,0.391634514473136,0.811669148965375,0.90972935521472,1.24714856195243,1.38128430936522,0.999727465652623,1.08293513633397,0.964737723327687,0.947572618545704,2.04395713788486,2.19629706380483,3.0416917732429,2.01814696325277,1.67751716204357,5.43329761420037,10.0437378470767,17.6906845083256,22.9372780640489,37.1690078093264,49.1232237127767,62.954947306622,66.6231288762077,71.4006001740803,74.8754517322987,77.6006439442844,76.7685272691885,76.567725611779,75.1901188269394,75.3620283980415,74.0727730362043,70.552423652821,68.7166959760203,67.0518504165337,66.9300475620123,62.1897341736276,60.3776499048755,57.6712645863303,59.0847300665491,54.9701282160537,54.565837453905,54.919664175567,54.2918768361473,52.337743616644,53.2993958040848,56.6662475534345,56.1971014269645,55.9426083643839,56.1614521552644,54.0927562371055,53.2721201312885,51.6342673673575,50.6314893711279,48.555198570424,47.8250819424219,49.2443120539443,46.9010178141945,45.8037159702956,42.046251134271,43.0801214583412,43.960129233712
132,"CPV","Cape Verde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.12968703129687,3.59,3.66,4.99,3.94039403940394,1.96019601960196,2.29,1.17,0.58,1.51984801519848,1.36,1.34,1.84,3.4,4.92049204920492,7.03,7.48,8.25,8.63913608639136,15.6,22.74,28.33,19.5,19.17,19.95,24.21,22.007799220078,19.2319231923192,25.43,32.2567743225677,43.36,45.4545454545455,39.05,26.72,20.1979802019798,18.57,25.93,33.78,43.35,44.87,43.52,38.14,31.3568643135686,26.8
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",0,0,0,0,0,0,2.31,0,0,2.56,2.45,1.93019301930193,0.97,0.52,0.42,0.32,0.56,0.45,0.49,0.47,0.69006900690069,2.34,4.61046104610461,5.14948505149485,4.53,3.56964303569643,2.96,1.70982901709829,1.93,2.54025402540254,3.27,2.65,2.38,2.12021202120212,2.16,1.91,1.6,10.988901109889,20.24,27.07,21.7621762176218,17.57,14.6885311468853,10.65,6.96069606960696,5.3,5.55,18.09,26.85,38.2438243824382,41.5341534153415,43.4856514348565,51.005100510051,34.3534353435344,34.78,33.32,35.69,45.56,48.2248224822482,57.58,43.3643364336434,34.82,30.7330733073307,37.19,40.1
156,"CHN","China",0,0,0,0,0.1,0.74992500749925,1.22,1.82,2.36,2.92,2.84028402840284,2.36,1.66,2.16,2.57974202579742,3.67,3.8,3.76,3.17,2.6,2.36976302369763,2.22,2.42,3.92,4.86,5.76,5.96940305969403,6.82,7.76,8.21,8.84,8.3,7.77,6.57,5.41945805419458,4.74,4.11958804119588,3.76037603760376,3.58964103589641,3.41,4.17,5.03,5.82,5.92059205920592,5.24,4.7,4.13041304130413,4.58954104589541,5.48945105489451,6.83068306830683,7.41,8.46915308469153,10.6210621062106,12.7387261273873,14.27,14.4714471447145,15.26,16.8416841684168,18.18,18.78,16.48,14.7185281471853,12.6987301269873,11.27,8.60913908609139
170,"COL","Colombia",0,0,0,0,0,0,0,0,0,0,0,0,0,1.4812965662688,1.56635091055603,4.69047202349095,0,4.117287188042,9.64446820068424,15.2850918986614,30.5008482461849,23.1414185807657,26.8370199061959,17.8788021593081,28.8768634503384,31.606911382518,18.2124609165574,16.1038186334212,10.2167753058163,17.7242495140553,24.4206023900043,34.9151310876202,34.0471127212245,35.7500067494395,31.9622402143634,37.9889541374774,46.0963000292667,43.1744343047503,35.7001966864641,33.1371857443277,32.6746505234579,34.637238172295,38.8841456676191,56.2101579330656,46.9599267548709,44.0043010981647,22.5381995407927,21.1495183993924,34.9725866278585,27.4678410756242,27.9540935669272,24.5556637692758,17.6641917258826,40.215372911051,50.3908855737004,25.5374958977034,15.1976612140709,16.9840567622587,27.8916712065898,39.7260152074286,51.2826472207377,58.4333096436125,50.3097285991503,37.9376198600035,12.8364292756342
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,4.54,4.51,3.37,0.26,0,0.26,0,0.25,0.25002500250025,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.06,0.07,0.28997100289971,0.10998900109989,0.11001100110011,0.12,0.13998600139986,1.1,0,0,9.05090509050905,19.95,29.32,28.87,29.56,29.27,29.28,26.34,25.75,25.39,25.3925392539254,24.002400240024
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86008600860086,0.99,1.03,0.98009800980098,0.9,1.22,11.44,25.09,49.5049504950495,38.7938793879388,25.0525052505251,18.95,18.82,23.56,19.3880611938806,33.74,8.86,12.8212821282128,14.47,10.93,12.46,16.49,33.41,41.2,35.8264173582642,27.46,25,25.962596259626,35.43,29.55,34.92,30.89,26.92,21.38,21.77,25.13,30.9169083091691,35.56,36.82,36.48,31.56,25.7774222577742,23.0776922307769,21.52,19.7519751975197,18.95,25.4674532546745
384,"CIV","Cote d'Ivoire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,"HRV","Croatia",0,0,0,0,0,3.99,4.52,4.23,3.17,3.74,3.92,5.31946805319468,5.89,4.95,4.13,3.12968703129687,7.41925807419258,8.75087508750875,11.6588341165883,7.86921307869213,5.55,2.65,6.57,7.82078207820782,11.02,10.14,12.29,9.14,6.2006200620062,2.98,2.59,2.56,3.74,4.43,4.62,3.45,2.9,3.01969803019698,3.62,4.94,6,6.27,5.55055505550555,5.02949705029497,7.05,11.2888711128887,15,17.5117511751175,17.3382661733827,16.61,16.17,15.4515451545155,15.1984801519848,14.1614161416142,13.3786621337866,12.59,11.83,11.0688931106889,9.77097709770977,8.68,8.3,8.74,8.79087908790879,8.38,7.03929607039296
192,"CUB","Cuba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,1.44,0,2.57,2.12021202120212,2.28,1.05,0.71,1.3,2.08979102089791,5.11,6.85,8.54,9.59,13.66,17.55,17.36,14.66,12.89,10.72,8.83,6.54,7.34,8.13,13.3586641335866,18.98,30.01300130013,29.45,27.72,21.1,19.001900190019,16.9016901690169,18.88,19.74,21.34,22.42,28.98,37.75,41.51,54.56,65.16,64.04,58.7641235876412,52.81,59.22,60.3,61.93,61.11,59.7359735973597
