"code","iso","country","PM2.raw.2008","PM2.raw.2009","PM2.raw.2010","PM2.raw.2011","PM2.raw.2012","PM2.raw.2013","PM2.raw.2014","PM2.raw.2015"
4,"AFG","Afghanistan",28.4287374281281,17.1821910193545,22.0176228136118,23.7353320280578,44.460804785927,31.3107100926884,24.4564110298761,54.9579070912321
8,"ALB","Albania",9.83944199556748,0,1.51941097661601,11.4801340365198,13.1474738265692,5.05760126754201,0,17.623338148518
12,"DZA","Algeria",0,0,0,0,0,0,0,2.02214159931946
16,"ASM","American Samoa",0,0,0,0,0,0,0,0
20,"AND","Andorra",0,0,0,0,0,0,0,0
24,"AGO","Angola",34.2805490795704,35.7252631313252,44.46245377231,57.109466156281,56.3473912399042,82.0399280102812,55.4408381692617,74.2807682357646
660,"AIA","Anguilla",0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0
32,"ARG","Argentina",4.09622157860175,4.10859841696962,4.0200951063662,4.39787531920308,3.83059859131057,4.19982555955114,3.51541401450512,4.69508766994392
51,"ARM","Armenia",53.7189483412841,32.6639243856806,93.2419954842195,36.8286319328644,51.5858917738033,51.4273072792008,40.4093345441613,76.2993016392374
533,"ABW","Aruba",0,0,0,0,0,0,0,0
36,"AUS","Australia",0,0,0,0,0,0,0,0
40,"AUT","Austria",24.4452875837462,37.0754332169842,37.4779285729356,35.447967283083,28.667606399777,40.3512156490139,52.0240387758455,41.9696178993861
31,"AZE","Azerbaijan",71.4677675254302,38.1094905999989,78.8713832330785,45.5845315624879,60.6779414415712,70.1973461322805,74.6877868423378,92.3540833262926
44,"BHS","Bahamas",0,0,0,0,0,0,0,0
48,"BHR","Bahrain",100,100,100,100,100,100,0,100
50,"BGD","Bangladesh",99.7474523572482,99.7474523572482,99.7474523572482,99.7474523572482,99.7474523572482,99.7474523572482,99.7474523572482,99.7474523572482
52,"BRB","Barbados",0,0,0,0,0,0,0,0
112,"BLR","Belarus",3.16372803970431,36.7833832121176,95.4032743225917,12.7933182025394,27.714274739777,8.96793915674313,51.8254281713034,74.0940353553054
56,"BEL","Belgium",5.42782946869658,15.0073279634221,71.39499488665,11.2053486747088,14.4480698187937,1.1636171224146,5.65700744601215,8.53833818857818
84,"BLZ","Belize",0,0,0,0,0,0,0,0
204,"BEN","Benin",10.5039840385006,8.04466357636958,58.0290749153188,29.717169198153,51.9244750404125,52.8232015031896,0,56.0118857019316
60,"BMU","Bermuda",0,0,0,0,0,0,0,0
64,"BTN","Bhutan",73.6903195004348,90.2368560042314,73.4683690111968,63.2676977472678,81.1570915188936,76.6303734186844,86.0252538966459,87.9992483928629
68,"BOL","Bolivia",3.76668688903482,3.09779760066432,30.6015801951747,4.37998705396988,3.83582445255557,3.82635729660611,4.1263880008546,3.89542102433929
70,"BIH","Bosnia and Herzegovina",4.23124027031128,4.37176257384587,9.97365161533724,13.6783441364021,6.01387148513759,4.55924868754492,7.81480259932297,28.5148869494873
72,"BWA","Botswana",51.5875693062648,20.4095259226536,73.4860070337697,36.8771365555936,39.6638342809555,52.3558089936914,27.7449307491314,93.5276276495213
76,"BRA","Brazil",7.10310720326408,6.63067506566854,18.6525069135291,17.0194997437383,9.64183516705483,8.73864250311418,18.7159282876295,26.1346366530836
92,"VGB","British Virgin Islands",0,0,0,0,0,0,0,0
96,"BRN","Brunei Darussalam",0,17.4667855807251,0,0,0,0,0,0
100,"BGR","Bulgaria",8.52504278154901,3.21539158329613,20.9007600093945,7.78625563745157,10.1428195145033,9.38219829983337,9.06933416277342,13.0971811573871
854,"BFA","Burkina Faso",0,0,0,0,0,0,0,0
108,"BDI","Burundi",98.0557407396621,70.3033426485386,59.8393036160644,96.8064559200425,99.9101888869451,99.9101888869451,99.1692058254896,99.9035474032716
116,"KHM","Cambodia",47.8961492207803,32.2760427825005,63.4233080905236,26.7723066326541,82.0832317988691,95.833980869601,89.9145438535841,94.1946488208002
120,"CMR","Cameroon",20.0387251233291,37.8072300631763,66.2377370401988,50.1354811462277,59.1563695914944,49.1964630798239,48.7408426621034,54.4305431599876
124,"CAN","Canada",2.46326287518784e-06,0,0.00283599318844337,0.10608798849593,0.0356782673991412,0.00660471769720539,0.0592497465934999,0.315922357141073
132,"CPV","Cape Verde",0,0,0,0,0,0,0,0
136,"CYM","Cayman Islands",0,0,0,0,0,0,0,0
140,"CAF","Central African Republic",30.548106598975,44.7779463936701,66.2622546457945,65.1878842437255,55.402485010742,59.1470907573101,47.653880922747,63.5274225776131
148,"TCD","Chad",0,0.00116834757920682,0,0,0,0,0,0.000240072707621129
152,"CHL","Chile",40.9928769229095,39.3217880200327,36.2548690920749,41.4267957815484,37.4418292238968,39.3618512315257,38.411108498725,48.1050726665035
156,"CHN","China",95.934734233008,95.5754664345316,95.634435017391,95.5309961572938,94.028332484655,96.1957713961466,95.5096017685134,94.9172754893449
170,"COL","Colombia",0.00635277461336886,0.457755691282303,24.3001207220252,0,23.1392954823255,14.9190775566388,0.297910634782393,0.00588887739811548
174,"COM","Comoros",0,0,0,0,0,0,0,0
184,"COK","Cook Islands",0,0,0,0,0,0,0,0
188,"CRI","Costa Rica",0,0,0,0,0,0,0,0
384,"CIV","Cote d'Ivoire",0,0.00368447467660742,6.88301820658554,19.0917510859414,6.58121219798379,0,0,22.2114707092858
191,"HRV","Croatia",2.53138737102269,10.6448295749061,18.0543948596596,23.7560283320416,9.60293347913047,8.4256553285202,19.3651025548005,58.6247094982135
192,"CUB","Cuba",0,0,0,0,0,0,0,0
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",0,0,0,0,0,0,0,12.8641248257932
203,"CZE","Czech Republic",46.0081274144928,79.6528122090778,94.6401055372382,76.1663009036295,70.3076050186939,71.4669732518713,95.1178690030103,84.2480333630314
180,"COD","Dem. Rep. Congo",78.9781197245877,80.1568316771024,85.0227541348906,92.8144996388079,96.5582330265061,94.4359485754459,91.3774730396734,98.6524027288284
208,"DNK","Denmark",0,0,0.27165082280003,0.258503075801154,0,0,6.3332256059085,0.124539377728055
262,"DJI","Djibouti",0,0,0,0,0,0,0,0
212,"DMA","Dominica",0,0,0,0,0,0,0,0
214,"DOM","Dominican Republic",0,0,0,0,0,0,0,0
218,"ECU","Ecuador",0,0,0.597588158463585,0,47.3381313881426,0.0186295933733745,0,0
818,"EGY","Egypt",0,0,0,0,0,0,0,0.103352906056953
222,"SLV","El Salvador",0,0,0,0,0,0.355040839521527,0,0
226,"GNQ","Equatorial Guinea",0.178441835295945,0,59.9811164571874,56.2517683330143,0.127042636305283,0,7.78994330974919,7.1828143298107
232,"ERI","Eritrea",0,0,0,0,0,0,0,0.000519480096204411
233,"EST","Estonia",0,0,0.0893776787773676,0,0,0,0.268283269724243,0
231,"ETH","Ethiopia",8.19312722776042,2.38179906014641,23.3307837934112,39.6586379702263,26.3442148701138,31.5962279563182,11.569119289078,67.7396209353761
234,"FRO","Faeroe Islands",0,0,0,0,0,0,0,0
238,"FLK","Falkland Islands",0,0,0,0,0,0,0,0
242,"FJI","Fiji",0,0,0,0,0,0,0,0
246,"FIN","Finland",0,0,0,0,0,0,0,0
250,"FRA","France",10.2935034761293,17.6914196915225,19.1817727979704,16.0885942609109,14.4459333257829,13.8947244133934,7.99679482359287,5.68704631431666
254,"GUF","French Guiana",0,0,0,0,0,0,0,0
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0
266,"GAB","Gabon",81.4521915918172,39.8599443944101,82.7214981239875,61.0690839064232,43.6472592199895,57.6120126023653,93.286959423461,78.9175557952444
270,"GMB","Gambia",0,0,0,0,0,0,0,0
268,"GEO","Georgia",38.4861875888179,13.214093643466,48.0883319794076,18.0511993006973,28.5735216588096,27.8358438069942,29.6573422779314,42.9021126269675
276,"DEU","Germany",0.533081466081757,4.31061000410943,50.940110971325,8.36445284364272,4.49620440774999,7.31266015111528,51.363055034636,16.0370090637077
288,"GHA","Ghana",11.9444118800775,24.1699948537993,45.4547455155171,38.983072754238,30.7179786044323,22.9966843361235,0.00100738378996732,35.8925966435697
292,"GIB","Gibraltar",0,0,0,0,0,0,0,0
300,"GRC","Greece",7.12831137094159,0,5.69549711685218,6.6130298248477,6.4850728937072,6.68403052886819,6.71104211636336,13.1396862811777
304,"GRL","Greenland",0,0,0,0,0,0,0,0
308,"GRD","Grenada",0,0,0,0,0,0,0,0
312,"GLP","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,NA
