"code","iso","country","SO2.raw.1970","SO2.raw.1971","SO2.raw.1972","SO2.raw.1973","SO2.raw.1974","SO2.raw.1975","SO2.raw.1976","SO2.raw.1977","SO2.raw.1978","SO2.raw.1979","SO2.raw.1980","SO2.raw.1981","SO2.raw.1982","SO2.raw.1983","SO2.raw.1984","SO2.raw.1985","SO2.raw.1986","SO2.raw.1987","SO2.raw.1988","SO2.raw.1989","SO2.raw.1990","SO2.raw.1991","SO2.raw.1992","SO2.raw.1993","SO2.raw.1994","SO2.raw.1995","SO2.raw.1996","SO2.raw.1997","SO2.raw.1998","SO2.raw.1999","SO2.raw.2000","SO2.raw.2001","SO2.raw.2002","SO2.raw.2003","SO2.raw.2004","SO2.raw.2005","SO2.raw.2006","SO2.raw.2007","SO2.raw.2008","SO2.raw.2009","SO2.raw.2010"
4,"AFG","Afghanistan",25.405962593,25.335126969,24.4697692636,24.7459810075,26.2264443215,27.6262893282,28.9497621604,22.3149133372,32.5283032949,33.8884204323,43.3832218415,41.684690464057,45.24125794914,47.25770199308,49.06100781814,17.83386029751,16.50897915359,17.31441280883,15.93601297135,14.9057415111,14.28255712794,13.07974895683,9.63498230284999,9.47967899858,10.91705409005,10.66235254376,11.46120701702,10.25523889086,10.5265920301,10.438989934144,12.208029231462,12.210771529346,13.62711915021,15.02853103614,15.47437417867,15.45167221758,14.91786282257,13.81973157594,13.97455510512,14.51174786971,14.54516140771
8,"ALB","Albania",38.1221356044,38.111333585,42.3215060992,39.2927577642,40.1205679476,39.00349871,39.837180265,41.779985677,48.411762447,55.6346636222,62.7252748692,57.076812994,60.7764678772,65.832373857,68.630345429,68.426126993,66.74749134,69.876003368,65.976130993,70.337007662,37.8897189888,23.7174742674,12.729984656,13.729511137,14.4007614872,10.1662031867,9.137654719,6.7267592704,6.7843504106,13.5601707432,13.5402778828,14.168741462,17.450613695,14.9108799312,13.3827290524,15.7071561326,15.6646579351,13.6317857966,11.0130399047,9.0381842567,8.6873196327
12,"DZA","Algeria",36.3270282944,36.277781828,36.1330801426,37.3626732464,38.637777482,48.3123229322,56.902391689,65.4880065318,63.5214492166,73.5319134396,69.0915410194,73.2423957074,82.124571866,81.597261119,85.4567285532,91.4827507196,88.2033879048,84.3813919964,82.240155481,79.1652866352,95.5853514598,101.339071967,100.0926050834,97.3206336592,91.3131222092,87.9929565824,82.7847488206,78.3720706462,80.9106550926,85.5631637986,84.3407371478,83.8898232404,95.5206411856,83.5175706404,85.4094337354,83.96846111,87.808877827,92.4308640972,95.7193867371999,76.4102339875999,78.2817939602
16,"ASM","American Samoa",8.3386e-06,8.32924e-06,8.731e-06,8.67264e-06,6.95124e-06,6.94704e-06,6.93352e-06,6.90644e-06,5.18082e-06,2.38205e-05,1.255916e-05,2.19392e-05,2.75528e-05,2.62522e-05,2.21689e-05,1.8374e-05,1.48532e-05,1.16082e-05,8.63028e-06,7.53136e-06,8.12728e-06,6.61724e-06,6.15237e-06,8.79711e-06,8.49345e-06,7.74259e-06,7.74259e-06,8.03899e-06,1.191299e-05,1.519419e-05,1.758619e-05,1.980659e-05,1.986379e-05,3.235419e-05,1.789299e-05,1.826219e-05,1.779419e-05,3.136099e-05,5.417339e-05,5.517179e-05,7.572739e-05
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",11.358415516,11.30527804,13.932170593,13.610904834,16.815375985,16.002893382,15.909095356,14.135792574,18.082076653,18.333747174,18.400712544,18.082446034,17.438996651,18.18777358,12.960736969,16.387764978,16.166964727,15.764260426,18.050895526,18.258260007,19.643306128,17.979503723,16.926127374,19.4763392818,17.613189136,18.3587136254,19.93671539,20.052083094,15.400435662,21.496233375,23.34221982,26.463713621,26.361908617,34.266737236,34.242508895,29.480322716,40.144561758,48.172236566,53.641102156,45.779096433,51.407719743
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",2.082355477925,2.093346906515,2.539332646689,2.8238255153,2.33088006373,2.85351767829,2.452325387419,2.729732612448,2.632333412455,2.474310724897,2.403800914264,2.38114988066,2.969028262128,1.845487163641,2.192379234049,1.957564128135,2.320523526547,2.466619368924,3.015613236785,2.696280556126,2.788501179783,2.868602991234,2.887745014275,2.52946148411,2.646504204811,2.91010820939,2.877042945904,2.878996782386,2.173679397534,1.927730897001,2.2798504772792,2.2716400088825,2.3072101905466,2.2670019622712,2.3512696384449,2.3827268599346,2.3974240813776,2.4238616790095,2.45038738394,2.259999642023,2.256281017723
32,"ARG","Argentina",685.3945776035,685.2634689125,689.8356611409,683.1225351802,646.1415824253,620.8145246862,648.5870226456,674.9131604365,639.2533491709,666.638287812,568.9594619045,526.1950991177,466.0962238512,454.9135827526,423.2505077058,342.1710226146,388.2727844681,421.9815945728,447.3099431891,361.5280112869,288.78342066759,343.9036800427,330.43643313925,309.82403959678,282.80290763306,233.25427415769,253.60100744745,266.93337890035,280.56818998231,274.78091900796,254.2523291458,211.49662509832,171.0457855309,181.19170217858,265.4315152609,268.171061234645,321.2032656774,347.336350880523,401.106213457534,387.09213098499,415.87519332551
51,"ARM","Armenia",57.510888263,57.54401252266,62.82355974815,69.73937737675,78.37126399315,93.43788052353,95.0312022328,96.1321283655,97.3905402751,98.242063618,99.4279864695,105.3857901013,109.2976047478,111.1853602986,110.5608219386,112.3974726034,107.2292343622,102.372043744,97.7067533692,85.8927399752,130.213751208,157.8481753598,98.8454401692,23.5535971476,10.3337997622,6.8027985328,4.86013429674,3.02946097118,2.9366698139,4.7761702158,0.881069969,0.7846136738,1.1983835892,1.4541345814,0.918806051,0.925780237,0.8939235108,0.9579186694,0.9770921474,0.7921176138,0.7842128082
