"iso","code","country","ATL.raw.2001","ATL.raw.2002","ATL.raw.2003","ATL.raw.2004","ATL.raw.2005","ATL.raw.2006","ATL.raw.2007","ATL.raw.2008","ATL.raw.2009","ATL.raw.2010","ATL.raw.2011","ATL.raw.2012","ATL.raw.2013","ATL.raw.2014","ATL.raw.2015","ATL.raw.2016"
4,"AFG","Afghanistan",88.0927124725958,178.640363847477,244.336255176648,201.44495854319,235.956834322841,152.08453592102,252.841662036765,107.406248242191,70.4054969240146,87.7284528063712,112.955062179257,39.3076156560678,1.45184122524639,2.71929047098629,0,0
8,"ALB","Albania",3729.02103148531,889.517115481305,613.533964995607,3236.59553951952,694.575351021383,962.706292414886,5225.02668846695,5471.3184038776,1337.34029202935,655.793343785182,1188.24819566168,5395.6488529097,2570.31092203992,1051.88171570217,283.574737103386,928.449622339002
12,"DZA","Algeria",3468.76025216812,3009.83312064486,3831.43711318265,4374.15938832371,4469.5686285597,5415.39407352622,5201.55658304439,7972.33695954967,10467.2735717658,2605.62381650666,8344.08446203979,10912.6710004682,6926.52926971608,9523.34857212797,5706.84570000302,8011.48377873753
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",1.6542129477192,1.25502222352039,0.342063642134,22.5893744865669,2.3961576984206,6.6245482711401,2.1690592921815,5.24786348717299,2.853299605183,1.0837221385872,0.913257606091,7.697719637306,3.3641866411504,1.3682604554948,2.167783333317,0.6275108286264
24,"AGO","Angola",101250.672932164,61065.6488703665,52527.5395517563,71313.5859864537,93483.0351510484,77063.1977662308,145370.510516745,103611.70016925,166083.472272734,159979.68944875,183126.224255504,180859.592068294,168867.857744543,213011.313487054,161843.707179396,229887.595144255
660,"AIA","Anguilla",3.87846070808,0.146329650799,1.09774508499,8.85399590506,3.65866292281,1.31715659843,8.63554887017,10.3906512749,1.90246758015,0.439017861481,1.02456278406,1.90261415862,1.31716796057,0.365832980222,0,0
28,"ATG","Antigua and Barbuda",24.074189438333,17.656041652524,17.0780226113853,25.463259746417,61.16559981564,61.1521159968304,37.1578287405199,45.695643782914,61.53009481923,19.136478011977,25.836475973483,33.3453906660309,21.345231976193,24.875652156607,8.907470700885,14.4253997362531
32,"ARG","Argentina",147805.95035567,105001.862245873,249155.006893079,433429.689669152,367249.347774933,316447.228385778,425345.267763882,592753.155735938,309857.999150488,413230.822407145,499187.177669446,478177.980858538,376776.593290926,241102.807660978,180233.034720981,230189.421127321
51,"ARM","Armenia",131.840612264682,172.538591177838,395.816694918715,83.204743948296,104.014577636237,129.749066650818,54.5364156633746,113.031533139077,202.73351745204,162.172624326252,173.988574498501,197.678176409779,41.8412621937232,38.1275819058559,1.990115393601,30.0475796445584
533,"ABW","Aruba",0,0.52610773156,0.977057600016,0,0,0.225486960564,0,0,0.375797838165,0,0,0.150324923185,0,0,0,0
36,"AUS","Australia",218827.582962592,312157.238000062,373853.491806288,124778.066205744,177035.846851743,186316.091219833,372725.237859454,205736.358757172,203723.663742476,290741.241650859,121327.092819867,139823.36432076,260095.013148954,281760.221388032,261585.578322239,430910.626774904
40,"AUT","Austria",6926.26900785137,10902.1498770562,14475.6425338498,14599.404767322,21657.1456085008,12583.5333934738,31669.6899276586,26895.7431901526,15887.1145622169,16712.8637813349,18089.7613580721,11158.4292337276,7645.34181265439,9869.56861126819,7937.70488353993,17210.2931877577
31,"AZE","Azerbaijan",553.299356121788,1154.20594286676,1039.34155116137,584.955793002372,246.265258757449,525.20146269419,507.557225265983,472.316924149202,371.834047451115,549.6000884432,147.455688626036,597.631968693818,149.07599370591,328.2460228023,26.7451929601089,25.4752098674808
44,"BHS","Bahamas",432.999419702984,700.976136521373,274.230876250824,588.099371463815,1450.09057364124,1015.77394436087,604.807671603909,1949.2357614719,823.971962444421,400.643992779075,624.793852520043,370.593972574745,1572.70768040626,902.306492079321,1089.01311180544,3136.08465530621
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",4613.85060088669,4006.60847178886,2172.24654027112,4303.2622972688,3310.06516382676,6930.2443933869,4037.96878376453,4538.86219168902,5679.08638226202,4792.81493920181,4276.59118814833,5422.9380952214,6106.79993261352,12278.6274823506,12811.7104668483,21583.7115151555
52,"BRB","Barbados",12.3674615641499,11.3919815607459,2.9978493868491,8.319537710874,9.5182677982595,4.1223345984626,31.6282371009103,13.7167265902222,13.2649362790939,17.461984492905,18.136973728049,116.543738048092,5.3215926702146,2.1735493173789,1.948700424568,14.3162589863609
112,"BLR","Belarus",18350.6484087258,25379.242998267,32109.5089790318,38546.96996043,36169.1705666883,42263.2525336739,32632.4353542718,35892.4248282999,35534.1886145769,35727.1102087507,45354.676537667,39585.7344887715,28082.911079714,33624.8856801313,33893.9250348454,90448.8807334494
56,"BEL","Belgium",971.48819527669,2348.39059565826,1889.77751265137,4793.34065076067,3027.93466925659,6916.03563196526,5985.19185743715,7213.54488570878,5176.36295854561,10909.0212656853,5016.2686189712,5635.16760728901,3314.9495059645,4239.26654853308,3420.27392444043,4512.34253406611
84,"BLZ","Belize",8211.629492547,13473.7305105839,6843.89617535799,4312.25967370199,8103.84646322399,4269.735224376,12263.6031959069,8216.094729877,10264.053888895,9765.909809931,26386.279778173,11527.967596721,16372.710431569,16464.713800056,12270.859936997,20510.705805505
204,"BEN","Benin",3749.33110518662,3480.18734608924,3475.92641465114,683.607611642971,1591.08660240562,1794.80449798087,4659.6990621642,481.551739863512,4929.15882850697,529.238836214949,654.667525621041,2865.41175458734,1312.90312316435,1358.27198226968,598.397362861077,2015.97781767094
60,"BMU","Bermuda",0.1958197936309,0.717959401934199,0.1305702427647,0.6527592358834,0.3263391013514,0.0653019817676,0,0.1958967676854,0.457064112561,0.9141074805685,0.130451296845,0.587705303151,1.4365347314837,0.848838595769,0,0
64,"BTN","Bhutan",297.659631494373,223.934881538512,543.600767286661,1013.17780377787,770.002230613834,622.87288308395,508.220729056868,775.333695121772,1175.45935217826,4353.62165380084,1090.99358912725,766.212395360513,485.352415753196,1229.15131329019,746.523608217503,1962.95232269454
68,"BOL","Bolivia",140321.334445036,178807.971170992,163759.098758078,203251.484079883,250748.253226429,216314.897061066,189952.920149238,369850.558125823,225270.291558975,451759.174346959,330239.210716771,273544.010744561,179822.510960809,256901.398178648,166275.253662024,470600.7456968
70,"BIH","Bosnia and Herzegovina",1496.10710454966,692.658855823609,307.81141168271,4121.82001106854,573.615629400957,535.968834796961,2681.52245850486,1551.7883182141,1296.33477499718,910.6377056608,970.615088233017,2433.75692449099,2574.00626137928,1789.54449510016,580.50489232273,2307.97952624785
72,"BWA","Botswana",130.983881477336,22.7889986253719,8.572551343807,50.6577650073539,49.0958439651082,40.107844036471,33.5596385912177,26.0632558557583,41.3246314834825,30.4998423232398,21.433357927863,15.7872367630349,14.1218635184655,15.5243501056283,0,0.7276476864497
76,"BRA","Brazil",2746361.48279205,3507049.44035914,3248526.73442808,3848770.78970857,3486562.70281566,2876804.67143508,2621820.24404397,2444308.18912718,1817901.2327587,2688896.17626595,1923363.6945465,2918633.14102396,1945506.25269369,2693134.29548972,2222772.4175308,5378844.03329318
92,"VGB","British Virgin Islands",4.0925011676588,2.996441556342,1.827421839706,2.6309563865433,3.7274220785676,2.7771190889058,6.13866634204,7.01528945754,5.188663247381,3.946225116391,15.3467350967649,0.877064464045,2.7770006628518,0.511468725522,0,2.850242974589
