code,iso,country,LAND,PERM,logPERM,Regions
336,VAT,Holy See,NA,NA,NA,Europe
340,HND,Honduras,28.86763786,4.021807132,1.613789855,Latin America
344,HKG,Hong Kong,5.238095238,0.952380952,0.669049629,Asia
348,HUN,Hungary,59.01910969,2.076659671,1.123844486,E. Europe & Eurasia
352,ISL,Iceland,18.69326683,NA,NA,Europe
356,IND,India,60.39741826,4.111745297,1.631540891,Asia
360,IDN,Indonesia,30.69161004,11.59215487,2.533073991,Asia
364,IRN,Iran,28.57351605,1.026793389,0.706454933,Middle East & N. Africa
368,IRQ,Iraq,18.92613741,0.506538957,0.409814939,Middle East & N. Africa
372,IRL,Ireland,66.30860793,0.02903179,0.02861835,Europe
833,IMN,Isle of Man,76.10526316,NA,NA,Europe
376,ISR,Israel,23.31330869,3.572088725,1.519970152,Middle East & N. Africa
380,ITA,Italy,48.71081798,8.797851363,2.282163113,Europe
388,JAM,Jamaica,40.99722992,8.771929825,2.279513972,Caribbean
392,JPN,Japan,12.59909477,0.85310657,0.616863458,Asia
400,JOR,Jordan,11.28970489,0.931516107,0.658305242,Middle East & N. Africa
398,KAZ,Kazakhstan,80.43923399,0.043078861,0.042176783,E. Europe & Eurasia
404,KEN,Kenya,48.00224901,0.913659205,0.649017223,Sub-Saharan Africa
296,KIR,Kiribati,41.97530864,39.50617284,3.701454378,Pacific
689,XKX,Kosovo,NA,NA,NA,E. Europe & Eurasia
414,KWT,Kuwait,8.529741863,0.336700337,0.290204142,Middle East & N. Africa
417,KGZ,Kyrgyzstan,55.32794578,0.386861314,0.327043146,E. Europe & Eurasia
418,LAO,Laos,9.618717504,0.563258232,0.446772254,Asia
428,LVA,Latvia,29.00064267,0.112467866,0.10658085,E. Europe & Eurasia
422,LBN,Lebanon,62.56109482,12.31671554,2.589020054,Middle East & N. Africa
426,LSO,Lesotho,76.61396574,0.131752306,0.123767145,Sub-Saharan Africa
430,LBR,Liberia,27.61627907,1.868770764,1.053883633,Sub-Saharan Africa
434,LBY,Libya,8.724439342,0.19039067,0.174281548,Middle East & N. Africa
438,LIE,Liechtenstein,39.375,NA,NA,Europe
440,LTU,Lithuania,44.23294775,0.48982848,0.398660999,E. Europe & Eurasia
442,LUX,Luxembourg,50.59459459,0.579150579,0.456887094,Europe
446,MAC,Macao,NA,NA,NA,Asia
807,MKD,Macedonia,44.36954798,1.38778747,0.870367193,E. Europe & Eurasia
450,MDG,Madagascar,71.18169,1.031743302,0.708894194,Sub-Saharan Africa
454,MWI,Malawi,60.29910904,1.431904964,0.888674886,Sub-Saharan Africa
458,MYS,Malaysia,22.7240907,19.02297976,2.996880602,Asia
462,MDV,Maldives,26.33333333,10,2.397895273,Asia
466,MLI,Mali,33.64312115,0.122931675,0.115942832,Sub-Saharan Africa
470,MLT,Malta,32.28125,3.90625,1.590509903,Europe
584,MHL,Marshall Islands,72.22222222,44.44444444,3.816490579,Pacific
474,MTQ,Martinique,NA,NA,NA,Caribbean
478,MRT,Mauritania,38.52818473,0.010672359,0.010615811,Sub-Saharan Africa
480,MUS,Mauritius,44.82758621,1.97044335,1.088711218,Sub-Saharan Africa
175,MYT,Mayotte,NA,NA,NA,Sub-Saharan Africa
484,MEX,Mexico,54.89081509,1.363718203,0.860235889,Latin America
583,FSM,Micronesia,31.42857143,24.28571429,3.230239584,Asia
498,MDA,Moldova,75.03805175,9.101978691,2.312731315,E. Europe & Eurasia
492,MCO,Monaco,NA,NA,NA,Europe
496,MNG,Mongolia,73.1146528,0.001931049,0.001929187,Asia
499,MNE,Montenegro,38.0669145,1.189591078,0.783714804,E. Europe & Eurasia
500,MSR,Montserrat,NA,NA,NA,Caribbean
504,MAR,Morocco,67.19314363,2.82097244,1.340504956,Middle East & N. Africa
508,MOZ,Mozambique,63.51890943,0.381494952,0.323166211,Sub-Saharan Africa
104,MMR,Myanmar,19.17460123,2.152282399,1.148126762,Asia
516,NAM,Namibia,47.13891824,0.010931749,0.01087243,Sub-Saharan Africa
520,NRU,Nauru,20,20,3.044522438,Pacific
524,NPL,Nepal,28.78269969,1.060341821,0.722871901,Asia
528,NLD,Netherlands,55.50844945,1.07915802,0.731963013,Europe
530,ANT,Netherlands Antilles,NA,NA,NA,Caribbean
540,NCL,New Caledonia,10.8643326,0.207877462,0.188864655,Pacific
554,NZL,New Zealand,43.32535794,0.269644146,0.238736661,Pacific
558,NIC,Nicaragua,41.76499917,2.451387735,1.238776392,Latin America
562,NER,Niger,34.72171785,0.078945291,0.075983981,Sub-Saharan Africa
566,NGA,Nigeria,76.85804319,7.356412706,2.123029233,Sub-Saharan Africa
570,NIU,Niue,NA,NA,NA,Pacific
574,NFK,Norfolk Island,NA,NA,NA,Pacific
408,PRK,North Korea,22.2572876,1.910140354,1.068201312,Asia
580,MNP,Northern Mariana Islands,6.52173913,2.173913043,1.154965225,Pacific
578,NOR,Norway,2.754041808,0.012320497,0.012245218,Europe
512,OMN,Oman,4.757996769,0.123747981,0.11666951,Middle East & N. Africa
586,PAK,Pakistan,45.71658364,1.105230386,0.744424908,Asia
585,PLW,Palau,10.86956522,4.347826087,1.676690139,Pacific
591,PAN,Panama,30.48681733,2.535647027,1.262896317,Latin America
598,PNG,Papua New Guinea,2.627743674,1.545731573,0.934418064,Asia
600,PRY,Paraguay,53.43569091,0.213944123,0.193874664,Latin America
604,PER,Peru,18.76796875,1.02109375,0.703638825,Latin America
608,PHL,Philippines,40.58087668,17.77509474,2.932531244,Asia
612,PCN,Pitcairn,NA,NA,NA,Pacific
616,POL,Poland,47.17578686,1.273344652,0.821252162,E. Europe & Eurasia
620,PRT,Portugal,39.89704116,7.795610875,2.174252833,Europe
630,PRI,Puerto Rico,21.83765502,5.636978579,1.892656827,Caribbean
634,QAT,Qatar,5.6416882,0.238587425,0.213971557,Middle East & N. Africa
178,COG,Republic of Congo,30.96925329,0.193265007,0.176693254,Sub-Saharan Africa
638,REU,Reunion,NA,NA,NA,Sub-Saharan Africa
642,ROU,Romania,61.53444903,2.012605955,1.10280547,E. Europe & Eurasia
643,RUS,Russia,13.06427907,0.100751853,0.095993449,E. Europe & Eurasia
646,RWA,Rwanda,73.12201054,10.13376571,2.409982447,Sub-Saharan Africa
654,SHN,Saint Helena,NA,NA,NA,Sub-Saharan Africa
659,KNA,Saint Kitts and Nevis,21.92307692,0.384615385,0.3254224,Caribbean
662,LCA,Saint Lucia,17.37704918,11.47540984,2.523759494,Caribbean
666,SPM,Saint Pierre and Miquelon,NA,NA,NA,Caribbean
670,VCT,Saint Vincent and the Grenadines,25.64102564,7.692307692,2.162438461,Caribbean
882,WSM,Samoa,12.36749117,7.77385159,2.171775888,Pacific
674,SMR,San Marino,16.66666667,NA,NA,Europe
678,STP,Sao Tome and Principe,50.52083333,40.625,3.728700948,Sub-Saharan Africa
682,SAU,Saudi Arabia,80.66558434,0.105131438,0.099964276,Middle East & N. Africa
686,SEN,Senegal,49.12481172,0.301251753,0.263326688,Sub-Saharan Africa
688,SRB,Serbia,40.26526412,2.173565058,1.15485558,E. Europe & Eurasia
690,SYC,Seychelles,5.434782609,3.47826087,1.499234772,Sub-Saharan Africa
694,SLE,Sierra Leone,54.45247991,2.078137988,1.124324865,Sub-Saharan Africa
702,SGP,Singapore,1.054131054,0.142450142,0.133175204,Asia
534,SXM,Sint Maarten,NA,NA,NA,Caribbean
703,SVK,Slovakia,40.43791978,0.528165353,0.4240679,E. Europe & Eurasia
705,SVN,Slovenia,30.97616683,2.568023833,1.272011894,E. Europe & Eurasia
90,SLB,Solomon Islands,3.822793855,2.85816363,1.350191327,Pacific
706,SOM,Somalia,70.34144164,0.044632894,0.043665527,Sub-Saharan Africa
710,ZAF,South Africa,79.87123791,0.354466692,0.303407792,Sub-Saharan Africa
410,KOR,South Korea,18.23511262,2.139257431,1.143986285,Asia
728,SSD,South Sudan,NA,NA,NA,Middle East & N. Africa
724,ESP,Spain,55.08889822,9.385812284,2.340440671,Europe
144,LKA,Sri Lanka,41.77962048,15.62749163,2.811057448,Asia
275,PSE,State of Palestine,41.17940199,9.003322259,2.302917264,Middle East & N. Africa
729,SDN,Sudan,42.0956229,0.059553872,0.057847944,Middle East & N. Africa
740,SUR,Suriname,0.501923077,0.038461538,0.037740328,Latin America
744,SJM,Svalbard and Jan Mayen Islands,NA,NA,NA,Europe
748,SWZ,Swaziland,71.04651163,0.872093023,0.627057069,Sub-Saharan Africa
752,SWE,Sweden,7.518155676,0.021933031,0.021695962,Europe
756,CHE,Switzerland,38.83490232,0.607348922,0.474586189,Europe
760,SYR,Syria,75.73925829,5.494744867,1.870993368,Middle East & N. Africa
158,TWN,Taiwan,NA,NA,NA,Asia
762,TJK,Tajikistan,33.978994,0.928836811,0.656917132,E. Europe & Eurasia
834,TZA,Tanzania,42.27816663,2.088507564,1.127687985,Sub-Saharan Africa
764,THA,Thailand,41.2221809,8.808158312,2.28321452,Asia
626,TLS,Timor-Leste,25.01681237,4.841963685,1.765066988,Asia
768,TGO,Togo,67.38371024,3.769075198,1.562152407,Sub-Saharan Africa
772,TKL,Tokelau,NA,NA,NA,Pacific
776,TON,Tonga,44.44444444,15.27777778,2.789800851,Pacific
780,TTO,Trinidad and Tobago,10.52631579,4.288499025,1.665534467,Caribbean
788,TUN,Tunisia,64.61122554,15.20983522,2.78561817,Middle East & N. Africa
792,TUR,Turkey,50.68929226,3.912269532,1.591736062,E. Europe & Eurasia
795,TKM,Turkmenistan,72.35120124,0.12767859,0.120161175,E. Europe & Eurasia
796,TCA,Turks and Caicos Islands,1.052631579,NA,NA,Caribbean
798,TUV,Tuvalu,60,60,4.110873864,Pacific
800,UGA,Uganda,71.14003591,10.97147417,2.482526667,Sub-Saharan Africa
804,UKR,Ukraine,71.23351516,1.548367051,0.935452782,E. Europe & Eurasia
784,ARE,United Arab Emirates,4.752392344,0.498803828,0.404667342,Middle East & N. Africa
826,GBR,United Kingdom,71.19414707,0.190137643,0.174068967,Europe
840,USA,United States of America,44.64933282,0.28423315,0.25016177,North America
850,VIR,United States Virgin Islands,11.42857143,2.857142857,1.349926717,Caribbean
858,URY,Uruguay,82.46486116,0.217118044,0.196485805,Latin America
860,UZB,Uzbekistan,62.69393512,0.752233192,0.560891084,E. Europe & Eurasia
548,VUT,Vanuatu,15.34044299,10.25430681,2.420750883,Pacific
862,VEN,Venezuela,24.48840769,0.793605805,0.58422801,Latin America
704,VNM,Viet Nam,34.70216403,11.87054536,2.554941395,Asia
876,WLF,Wallis and Futuna Islands,NA,NA,NA,Pacific
732,ESH,Western Sahara,NA,NA,NA,Middle East & N. Africa
887,YEM,Yemen,44.65973445,0.545485539,0.435338126,Middle East & N. Africa
894,ZMB,Zambia,31.52584781,0.048426802,0.047290756,Sub-Saharan Africa
716,ZWE,Zimbabwe,41.87669639,0.258498126,0.229919046,Sub-Saharan Africa
